t,x,y,vx,vy
0.0,0.0,0.0,30.0,50.0
0.008333333333333333,0.25,0.4163261579861111,30.0,49.91827791666667
0.016666666666666666,0.5,0.8319712986111112,30.0,49.836555833333335
0.025,0.75,1.246935421875,30.0,49.75483375
0.03333333333333333,1.0,1.6612185277777778,30.0,49.673111666666664
0.041666666666666664,1.25,2.0748206163194443,30.0,49.59138958333333
0.05,1.5,2.4877416875,30.0,49.5096675
0.058333333333333334,1.75,2.8999817413194444,30.0,49.42794541666667
0.06666666666666667,2.0,3.311540777777778,30.0,49.346223333333334
0.075,2.25,3.722418796875,30.0,49.26450125
0.08333333333333333,2.5,4.132615798611111,30.0,49.18277916666667
0.09166666666666666,2.75,4.542131782986111,30.0,49.10105708333333
0.1,3.0,4.95096675,30.0,49.019335
0.10833333333333334,3.25,5.359120699652778,30.0,48.937612916666666
0.11666666666666667,3.5,5.766593631944444,30.0,48.85589083333333
0.125,3.75,6.173385546875,30.0,48.77416875
0.13333333333333333,4.0,6.579496444444445,30.0,48.69244666666667
0.14166666666666666,4.25,6.984926324652777,30.0,48.61072458333334
0.15,4.5,7.3896751875,30.0,48.5290025
0.15833333333333333,4.75,7.793743032986111,30.0,48.447280416666665
0.16666666666666666,5.0,8.19712986111111,30.0,48.36555833333333
0.175,5.25,8.599835671875,30.0,48.28383625
0.18333333333333332,5.5,9.001860465277778,30.0,48.20211416666667
0.19166666666666668,5.75,9.403204241319445,30.0,48.120392083333336
0.2,6.0,9.803867,30.0,48.03867
0.20833333333333334,6.25,10.203848741319446,30.0,47.956947916666664
0.21666666666666667,6.5,10.60314946527778,30.0,47.87522583333333
0.225,6.75,11.001769171875,30.0,47.79350375
0.23333333333333334,7.0,11.39970786111111,30.0,47.71178166666667
0.24166666666666667,7.25,11.796965532986112,30.0,47.630059583333335
0.25,7.5,12.1935421875,30.0,47.5483375
0.25833333333333336,7.750000000000001,12.589437824652778,30.0,47.46661541666667
0.26666666666666666,8.0,12.984652444444444,30.0,47.38489333333333
0.275,8.25,13.379186046875002,30.0,47.30317125
0.2833333333333333,8.5,13.773038631944443,30.0,47.221449166666666
0.2916666666666667,8.75,14.16621019965278,30.0,47.139727083333334
